Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.11,-.19,-.11,-.23,-.21,-.09,-.16,-.23,-.20,-.22,-.18,***,***,-.14,-.17,-.20
1881,-.15,-.17,.04,.04,.02,-.20,-.07,-.02,-.14,-.21,-.22,-.11,-.10,-.11,-.18,.03,-.10,-.19
1882,.14,.15,.04,-.19,-.16,-.26,-.21,-.05,-.10,-.25,-.16,-.25,-.11,-.10,.06,-.10,-.17,-.17
1883,-.32,-.39,-.13,-.17,-.20,-.13,-.08,-.15,-.21,-.14,-.22,-.16,-.19,-.20,-.32,-.17,-.12,-.19
1884,-.15,-.08,-.37,-.43,-.37,-.41,-.35,-.26,-.27,-.24,-.30,-.29,-.29,-.28,-.13,-.39,-.34,-.27
1885,-.59,-.30,-.25,-.42,-.42,-.44,-.35,-.31,-.24,-.19,-.19,-.05,-.31,-.33,-.39,-.36,-.37,-.21
1886,-.42,-.45,-.38,-.28,-.26,-.39,-.22,-.34,-.25,-.28,-.31,-.26,-.32,-.30,-.31,-.31,-.31,-.28
1887,-.72,-.52,-.34,-.39,-.32,-.24,-.23,-.32,-.22,-.33,-.23,-.33,-.35,-.34,-.50,-.35,-.26,-.26
1888,-.37,-.36,-.41,-.22,-.22,-.18,-.10,-.16,-.10,.01,.00,-.06,-.18,-.20,-.36,-.28,-.15,-.03
1889,-.11,.18,.08,.07,-.02,-.14,-.10,-.20,-.22,-.22,-.33,-.30,-.11,-.09,.00,.04,-.14,-.26
1890,-.44,-.45,-.40,-.37,-.46,-.27,-.26,-.38,-.39,-.24,-.48,-.31,-.37,-.37,-.40,-.41,-.30,-.37
1891,-.41,-.47,-.19,-.28,-.19,-.21,-.20,-.16,-.13,-.21,-.34,-.04,-.24,-.26,-.40,-.22,-.19,-.23
1892,-.28,-.11,-.35,-.35,-.25,-.23,-.32,-.25,-.12,-.12,-.41,-.38,-.26,-.24,-.14,-.31,-.27,-.22
1893,-.79,-.53,-.23,-.29,-.36,-.28,-.15,-.26,-.20,-.16,-.16,-.34,-.31,-.32,-.57,-.29,-.23,-.17
1894,-.53,-.33,-.25,-.47,-.34,-.43,-.26,-.22,-.24,-.20,-.25,-.19,-.31,-.32,-.40,-.35,-.30,-.23
1895,-.44,-.42,-.28,-.24,-.26,-.23,-.17,-.15,-.08,-.08,-.14,-.15,-.22,-.22,-.35,-.26,-.19,-.10
1896,-.25,-.14,-.25,-.30,-.18,-.13,-.03,-.03,-.02,.12,-.07,-.03,-.11,-.12,-.18,-.24,-.06,.01
1897,-.14,-.14,-.13,-.02,-.04,-.16,-.07,-.11,-.07,-.12,-.19,-.19,-.11,-.10,-.10,-.06,-.11,-.13
1898,-.03,-.29,-.51,-.33,-.31,-.20,-.23,-.25,-.21,-.33,-.37,-.25,-.28,-.27,-.17,-.38,-.23,-.30
1899,-.19,-.40,-.34,-.20,-.23,-.33,-.17,-.06,-.02,-.05,.12,-.28,-.18,-.18,-.28,-.25,-.19,.02
1900,-.37,-.03,.02,-.12,-.10,-.12,-.12,-.10,-.04,.09,-.09,-.07,-.09,-.10,-.22,-.07,-.11,-.01
1901,-.23,-.03,.08,-.03,-.16,-.12,-.15,-.20,-.22,-.30,-.16,-.27,-.15,-.13,-.11,-.04,-.16,-.23
1902,-.20,-.03,-.29,-.30,-.35,-.35,-.29,-.33,-.29,-.30,-.39,-.46,-.30,-.28,-.17,-.32,-.32,-.33
1903,-.26,-.04,-.23,-.43,-.45,-.46,-.38,-.48,-.48,-.48,-.44,-.52,-.39,-.38,-.25,-.37,-.44,-.47
1904,-.67,-.58,-.51,-.54,-.55,-.51,-.53,-.50,-.52,-.39,-.20,-.34,-.49,-.50,-.59,-.53,-.51,-.37
1905,-.39,-.59,-.22,-.35,-.32,-.30,-.29,-.21,-.18,-.25,-.09,-.18,-.28,-.29,-.44,-.30,-.27,-.17
1906,-.27,-.29,-.15,-.04,-.23,-.20,-.24,-.19,-.26,-.18,-.37,-.15,-.21,-.22,-.25,-.14,-.21,-.27
1907,-.40,-.50,-.26,-.37,-.46,-.42,-.35,-.34,-.32,-.23,-.47,-.47,-.38,-.36,-.35,-.36,-.37,-.34
1908,-.42,-.30,-.52,-.44,-.40,-.40,-.38,-.45,-.35,-.44,-.49,-.48,-.42,-.42,-.40,-.45,-.41,-.43
1909,-.68,-.46,-.50,-.59,-.55,-.52,-.44,-.30,-.34,-.36,-.30,-.54,-.46,-.46,-.54,-.55,-.42,-.33
1910,-.43,-.43,-.49,-.39,-.34,-.36,-.34,-.35,-.35,-.37,-.53,-.65,-.42,-.41,-.47,-.41,-.35,-.42
1911,-.62,-.57,-.59,-.53,-.51,-.47,-.40,-.41,-.37,-.22,-.17,-.21,-.42,-.46,-.62,-.54,-.42,-.25
1912,-.25,-.11,-.34,-.19,-.21,-.25,-.43,-.53,-.50,-.56,-.37,-.42,-.35,-.33,-.19,-.24,-.41,-.48
1913,-.41,-.42,-.42,-.38,-.46,-.47,-.35,-.33,-.34,-.33,-.18,-.02,-.34,-.38,-.42,-.42,-.38,-.28
1914,.05,-.10,-.21,-.28,-.22,-.26,-.23,-.13,-.12,-.03,-.17,-.07,-.15,-.14,-.02,-.24,-.21,-.11
1915,-.16,.00,-.09,.07,-.06,-.20,-.10,-.19,-.16,-.24,-.11,-.16,-.12,-.11,-.08,-.03,-.16,-.17
1916,-.08,-.11,-.27,-.29,-.31,-.46,-.35,-.25,-.31,-.26,-.39,-.79,-.32,-.27,-.12,-.29,-.35,-.32
1917,-.58,-.61,-.60,-.50,-.54,-.43,-.24,-.21,-.17,-.40,-.28,-.66,-.43,-.44,-.66,-.55,-.29,-.28
1918,-.41,-.30,-.24,-.44,-.45,-.35,-.31,-.29,-.14,-.04,-.09,-.27,-.28,-.31,-.46,-.38,-.31,-.09
1919,-.19,-.22,-.19,-.12,-.27,-.36,-.28,-.31,-.21,-.18,-.40,-.40,-.26,-.25,-.23,-.19,-.32,-.26
1920,-.21,-.21,-.07,-.25,-.25,-.35,-.30,-.23,-.18,-.25,-.25,-.42,-.25,-.25,-.27,-.19,-.29,-.23
1921,-.01,-.17,-.21,-.29,-.28,-.26,-.14,-.23,-.16,-.02,-.12,-.16,-.17,-.19,-.20,-.26,-.21,-.10
1922,-.33,-.43,-.12,-.23,-.32,-.31,-.24,-.30,-.31,-.31,-.13,-.17,-.27,-.27,-.30,-.22,-.28,-.25
1923,-.28,-.36,-.33,-.39,-.33,-.25,-.28,-.29,-.27,-.10,.02,-.02,-.24,-.25,-.27,-.35,-.27,-.12
1924,-.21,-.22,-.06,-.31,-.18,-.22,-.25,-.32,-.30,-.32,-.19,-.40,-.25,-.22,-.15,-.18,-.26,-.27
1925,-.36,-.37,-.24,-.24,-.29,-.32,-.27,-.15,-.15,-.17,.05,.09,-.20,-.24,-.38,-.26,-.25,-.09
1926,.20,.07,.12,-.12,-.21,-.22,-.23,-.12,-.12,-.09,-.04,-.27,-.09,-.05,.12,-.07,-.19,-.08
1927,-.26,-.17,-.36,-.30,-.24,-.25,-.15,-.20,-.10,.00,-.02,-.32,-.20,-.19,-.23,-.30,-.20,-.04
1928,.00,-.07,-.26,-.27,-.29,-.36,-.18,-.21,-.17,-.16,-.08,-.17,-.18,-.20,-.13,-.27,-.25,-.14
1929,-.45,-.59,-.31,-.39,-.37,-.40,-.33,-.29,-.22,-.12,-.11,-.52,-.34,-.31,-.40,-.36,-.34,-.15
1930,-.29,-.26,-.07,-.24,-.22,-.20,-.18,-.12,-.12,-.08,.17,-.06,-.14,-.18,-.36,-.18,-.17,-.01
1931,-.09,-.23,-.07,-.21,-.19,-.07,-.02,-.02,-.06,.03,-.11,-.09,-.09,-.09,-.13,-.16,-.04,-.05
1932,.15,-.18,-.19,-.06,-.18,-.29,-.23,-.23,-.11,-.10,-.26,-.25,-.16,-.15,-.04,-.14,-.25,-.16
1933,-.33,-.33,-.29,-.25,-.29,-.33,-.21,-.24,-.27,-.21,-.29,-.45,-.29,-.27,-.31,-.28,-.26,-.25
1934,-.24,-.04,-.32,-.30,-.10,-.15,-.10,-.10,-.16,-.07,.04,-.03,-.13,-.17,-.24,-.24,-.12,-.06
1935,-.33,.15,-.12,-.35,-.30,-.26,-.22,-.22,-.20,-.08,-.27,-.20,-.20,-.19,-.07,-.26,-.23,-.19
1936,-.28,-.38,-.22,-.20,-.18,-.21,-.08,-.13,-.09,-.04,-.03,-.03,-.16,-.17,-.29,-.20,-.14,-.05
1937,-.13,.03,-.18,-.17,-.08,-.05,-.05,.02,.11,.08,.09,-.12,-.04,-.03,-.04,-.14,-.03,.10
1938,.02,-.02,.08,.04,-.10,-.18,-.09,-.06,.02,.11,.04,-.22,-.03,-.02,-.04,.01,-.11,.06
1939,-.07,-.08,-.19,-.09,-.06,-.08,-.08,-.07,-.07,-.03,.06,.44,-.03,-.08,-.12,-.11,-.08,-.01
1940,-.05,.13,.15,.18,.09,.08,.12,.05,.13,.07,.17,.28,.12,.13,.17,.14,.08,.13
1941,.21,.33,.08,.17,.14,.12,.21,.14,.02,.33,.24,.20,.18,.19,.27,.13,.16,.20
1942,.26,.02,.10,.11,.09,.05,.00,-.03,-.04,-.01,.08,.08,.06,.07,.16,.10,.01,.01
1943,-.04,.14,-.08,.07,.05,-.06,.08,.01,.06,.22,.20,.25,.08,.06,.06,.01,.01,.16
1944,.35,.27,.27,.20,.20,.20,.19,.18,.30,.26,.10,.03,.21,.23,.29,.22,.19,.22
1945,.10,-.01,.07,.19,.05,.00,.03,.27,.22,.19,.08,-.08,.09,.10,.04,.10,.10,.16
1946,.15,.07,.01,.06,-.08,-.21,-.13,-.16,-.07,-.06,-.05,-.35,-.07,-.05,.05,.00,-.17,-.06
1947,-.12,-.07,.08,.07,-.03,.02,-.07,-.09,-.13,.06,.02,-.16,-.04,-.05,-.18,.04,-.05,-.01
1948,.07,-.15,-.25,-.11,.01,-.04,-.11,-.12,-.11,-.07,-.11,-.22,-.10,-.10,-.08,-.12,-.09,-.10
1949,.10,-.16,-.02,-.10,-.08,-.23,-.14,-.11,-.14,-.06,-.10,-.22,-.11,-.11,-.10,-.07,-.16,-.10
1950,-.33,-.28,-.07,-.20,-.10,-.03,-.10,-.16,-.12,-.22,-.38,-.20,-.18,-.18,-.28,-.12,-.10,-.24
1951,-.35,-.43,-.21,-.13,.00,-.02,.03,.06,.08,.05,-.02,.14,-.07,-.09,-.32,-.11,.02,.04
1952,.12,.10,-.10,.02,-.02,-.04,.04,.04,.07,-.01,-.14,-.01,.01,.02,.12,-.03,.01,-.02
1953,.08,.14,.11,.18,.09,.10,.00,.06,.04,.06,-.06,.02,.07,.07,.07,.13,.05,.02
1954,-.28,-.13,-.15,-.16,-.21,-.17,-.19,-.16,-.10,-.04,.06,-.22,-.15,-.13,-.13,-.18,-.17,-.03
1955,.14,-.18,-.35,-.22,-.21,-.12,-.13,.01,-.11,-.05,-.24,-.30,-.15,-.14,-.09,-.26,-.08,-.14
1956,-.16,-.26,-.23,-.27,-.31,-.16,-.12,-.26,-.20,-.24,-.17,-.08,-.21,-.23,-.24,-.27,-.18,-.20
1957,-.11,-.04,-.06,-.01,.09,.16,.01,.15,.09,.01,.06,.16,.04,.02,-.07,.00,.11,.06
1958,.39,.24,.11,.03,.06,-.08,.05,-.03,-.02,.04,.02,.00,.07,.08,.26,.07,-.02,.01
1959,.08,.08,.18,.13,.04,.02,.06,-.02,-.06,-.09,-.09,-.02,.03,.03,.06,.12,.02,-.08
1960,-.01,.16,-.34,-.14,-.07,-.04,-.03,.02,.07,.07,-.12,.18,-.02,-.04,.05,-.18,-.02,.01
1961,.07,.19,.09,.12,.11,.11,.00,.03,.07,.00,.03,-.15,.06,.08,.15,.11,.05,.03
1962,.07,.14,.12,.04,-.04,.04,.02,-.02,.01,.00,.07,.00,.04,.03,.02,.04,.02,.03
1963,-.02,.20,-.14,-.06,-.04,.05,.09,.27,.20,.15,.15,-.01,.07,.07,.06,-.08,.14,.17
1964,-.08,-.12,-.23,-.31,-.24,-.02,-.03,-.21,-.29,-.31,-.21,-.30,-.20,-.17,-.07,-.26,-.09,-.27
1965,-.07,-.17,-.11,-.19,-.14,-.09,-.12,-.03,-.16,-.05,-.06,-.06,-.10,-.12,-.18,-.14,-.08,-.09
1966,-.17,.00,.05,-.13,-.11,.01,.09,-.08,-.02,-.15,-.02,-.05,-.05,-.05,-.08,-.06,.01,-.06
1967,-.06,-.21,.04,-.05,.15,-.08,.01,.01,-.06,.09,-.06,-.03,-.02,-.02,-.10,.05,-.02,-.01
1968,-.25,-.15,.21,-.05,-.13,-.07,-.12,-.09,-.18,.11,-.03,-.12,-.07,-.07,-.15,.01,-.09,-.03
1969,-.10,-.14,.01,.18,.19,.05,-.02,.03,.09,.13,.13,.28,.07,.03,-.12,.13,.02,.11
1970,.09,.22,.08,.09,-.04,-.02,-.02,-.09,.11,.06,.02,-.12,.03,.07,.20,.04,-.04,.06
1971,-.02,-.19,-.17,-.08,-.05,-.19,-.11,-.03,-.04,-.06,-.05,-.09,-.09,-.09,-.11,-.10,-.11,-.05
1972,-.24,-.16,.02,.00,-.03,.06,.01,.17,.02,.09,.04,.19,.02,-.01,-.16,.00,.08,.05
1973,.29,.31,.27,.26,.26,.18,.10,.04,.10,.14,.06,-.06,.16,.18,.26,.26,.11,.10
1974,-.15,-.29,-.06,-.12,-.02,-.06,-.05,.11,-.11,-.08,-.07,-.09,-.08,-.08,-.16,-.07,.00,-.09
1975,.07,.06,.13,.05,.16,.00,-.01,-.19,-.03,-.09,-.16,-.17,-.01,-.01,.01,.11,-.06,-.09
1976,-.01,-.06,-.21,-.08,-.24,-.16,-.10,-.15,-.09,-.26,-.04,.10,-.11,-.13,-.08,-.18,-.13,-.13
1977,.19,.22,.25,.27,.30,.24,.20,.16,.00,.02,.17,.03,.17,.18,.17,.27,.20,.07
1978,.06,.14,.21,.15,.06,-.02,.03,-.17,.06,.00,.15,.10,.06,.06,.08,.14,-.05,.07
1979,.12,-.10,.18,.13,.05,.13,.02,.14,.25,.24,.28,.47,.16,.13,.04,.12,.10,.26
1980,.30,.43,.30,.33,.36,.17,.29,.23,.19,.18,.29,.19,.27,.29,.40,.33,.23,.22
1981,.55,.41,.49,.31,.24,.32,.34,.32,.17,.14,.24,.43,.33,.31,.38,.35,.32,.18
1982,.10,.15,-.01,.09,.15,.05,.13,.07,.14,.13,.15,.43,.13,.13,.23,.08,.08,.14
1983,.52,.40,.42,.31,.36,.20,.17,.33,.39,.16,.32,.17,.31,.33,.45,.36,.24,.29
1984,.30,.17,.29,.08,.33,.05,.17,.16,.21,.16,.06,-.05,.16,.18,.21,.23,.13,.14
1985,.22,-.07,.17,.11,.17,.18,-.01,.14,.15,.11,.08,.15,.12,.10,.03,.15,.10,.11
1986,.28,.39,.27,.24,.24,.11,.11,.12,.00,.13,.11,.16,.18,.18,.27,.25,.11,.08
1987,.36,.45,.16,.22,.25,.37,.45,.28,.39,.32,.25,.47,.33,.31,.33,.21,.37,.32
1988,.57,.43,.51,.45,.43,.43,.34,.47,.41,.40,.12,.33,.41,.42,.49,.46,.41,.31
1989,.15,.35,.37,.33,.16,.14,.33,.37,.37,.32,.20,.38,.29,.29,.27,.29,.28,.30
1990,.40,.41,.76,.55,.46,.38,.43,.30,.29,.41,.45,.40,.44,.44,.40,.59,.37,.38
1991,.40,.49,.35,.52,.38,.53,.47,.39,.48,.30,.31,.33,.41,.42,.43,.41,.46,.36
1992,.44,.42,.47,.24,.32,.26,.11,.07,.00,.09,.03,.22,.22,.23,.39,.34,.15,.04
1993,.37,.38,.36,.27,.27,.25,.28,.13,.10,.22,.06,.16,.24,.24,.32,.30,.22,.13
